index,name,population,density,land-size,median_age,urban_pop,image_url,latitude,longitude
195,Timor-Leste,"1,318,445",89,"14,870",21,33 %,https://www.worldometers.info/img/flags/tt-flag.gif,-8.874217,125.727539
196,Cyprus,"1,207,359",131,"9,240",37,67 %,https://www.worldometers.info/img/flags/cy-flag.gif,35.126413,33.429859
197,Djibouti,"988,000",43,"23,180",27,79 %,https://www.worldometers.info/img/flags/dj-flag.gif,11.825138,42.590275
198,Réunion,"895,312",358,"2,500",36,100 %,,-21.115141,55.536384
199,Guyana,"786,552",4,"196,850",27,27 %,https://www.worldometers.info/img/flags/gy-flag.gif,4.860416,-58.93018
200,Solomon Islands,"686,884",25,"27,990",20,23 %,https://www.worldometers.info/img/flags/bp-flag.gif,-9.64571,160.156194
201,Montenegro,"628,066",47,"13,450",39,68 %,https://www.worldometers.info/img/flags/mj-flag.gif,42.708678,19.37439
202,Western Sahara,"597,339",2,"266,000",28,87 %,,24.215527,-12.885834
203,Cabo Verde,"555,987",138,"4,030",28,68 %,https://www.worldometers.info/img/flags/cv-flag.gif,,
204,Maldives,"540,544","1,802",300,30,35 %,https://www.worldometers.info/img/flags/mv-flag.gif,3.202778,73.22068
205,Brunei ,"437,479",83,"5,270",32,80 %,https://www.worldometers.info/img/flags/bx-flag.gif,,
206,Belize,"397,628",17,"22,810",25,46 %,https://www.worldometers.info/img/flags/bh-flag.gif,17.189877,-88.49765
207,Martinique,"375,265",354,"1,060",47,92 %,,14.641528,-61.024174
208,Vanuatu,"307,145",25,"12,190",21,24 %,https://www.worldometers.info/img/flags/nh-flag.gif,-15.376706,166.959158
209,Barbados,"287,375",668,430,40,31 %,https://www.worldometers.info/img/flags/bb-flag.gif,13.193887,-59.543198
210,French Polynesia,"280,908",77,"3,660",34,64 %,,-17.679742,-149.406843
211,Sao Tome & Principe,"219,159",228,960,19,74 %,,,
212,Saint Lucia,"183,627",301,610,34,19 %,https://www.worldometers.info/img/flags/st-flag.gif,13.909444,-60.978893
213,Guam,"168,775",313,540,31,95 %,,13.444304,144.793731
214,Kiribati,"119,449",147,810,23,57 %,https://www.worldometers.info/img/flags/kr-flag.gif,-3.370417,-168.734039
215,St. Vincent & Grenadines,"110,940",284,390,33,53 %,https://www.worldometers.info/img/flags/vc-flag.gif,,
216,Tonga,"105,695",147,720,22,24 %,https://www.worldometers.info/img/flags/tn-flag.gif,-21.178986,-175.198242
217,Seychelles,"98,347",214,460,34,56 %,https://www.worldometers.info/img/flags/se-flag.gif,-4.679574,55.491977
218,Isle of Man,"85,033",149,570,N.A.,53 %,,54.236107,-4.548056
219,Dominica,"71,986",96,750,N.A.,74 %,https://www.worldometers.info/img/flags/do-flag.gif,15.414999,-61.370976
220,Bermuda,"62,278","1,246",50,N.A.,97 %,,32.321384,-64.75737
221,Northern Mariana Islands,"57,559",125,460,N.A.,88 %,,17.33083,145.38469
222,American Samoa,"55,191",276,200,N.A.,88 %,,-14.270972,-170.132217
223,Faeroe Islands,"48,863",35,"1,396",N.A.,43 %,,,
224,Monaco,"39,242","26,337",1,N.A.,N.A.,https://www.worldometers.info/img/flags/mn-flag.gif,43.750298,7.412841
225,Saint Martin,"38,666",730,53,N.A.,0 %,,,
226,San Marino,"33,931",566,60,N.A.,97 %,https://www.worldometers.info/img/flags/sm-flag.gif,43.94236,12.457777
227,British Virgin Islands,"30,231",202,150,N.A.,52 %,,18.420695,-64.639968
228,Palau,"18,094",39,460,N.A.,N.A.,https://www.worldometers.info/img/flags/ps-flag.gif,7.51498,134.58252
229,Anguilla,"15,003",167,90,N.A.,N.A.,,18.220554,-63.068615
230,Wallis & Futuna,"11,239",80,140,N.A.,0 %,,,
231,Saint Barthelemy,"9,877",470,21,N.A.,0 %,,,
232,Saint Pierre & Miquelon,"5,794",25,230,N.A.,100 %,,,
233,Falkland Islands,"3,480",0,"12,170",N.A.,66 %,,,
234,Tokelau,"1,357",136,10,N.A.,0 %,,-8.967363,-171.855881
235,World,7795232630,59.92,130094083,,37.49%,,,
